Date,Open,High,Low,Close,Adj Close,Volume,,,
1/1/1990,1.814815,1.91358,1.703704,1.734568,1.032767,106764075,0.04421773,0.038869114,0.046263392
2/1/1990,1.746914,1.993827,1.722222,1.962963,1.168754,88269750,-0.123674663,,
3/1/1990,1.969136,2.333333,1.95679,2.259259,1.346264,149977575,-0.147335176,,
4/1/1990,2.234568,2.388889,2.197531,2.308642,1.375691,93168225,-0.033149137,,
5/1/1990,2.358025,3.04321,2.320988,2.993827,1.783984,184159575,-0.269633274,,
6/1/1990,3.024691,3.111111,2.703704,2.851852,1.699383,161179875,0.057142697,,
7/1/1990,2.851852,3.231481,2.518519,2.537037,1.511788,162596700,0.11038967,,
8/1/1990,2.527778,2.777778,2.12037,2.509259,1.496292,265967550,0.007326197,,
9/1/1990,2.481481,2.611111,2.148148,2.25,1.343015,136344600,0.093283406,,
10/1/1990,2.277778,2.527778,1.981481,2.175926,1.2988,215924400,0.044715508,,
11/1/1990,2.185185,2.694444,2.12037,2.648148,1.580668,179213850,-0.211864442,,
12/1/1990,2.703704,3.037037,2.694444,2.861111,1.709304,127218600,-0.058219021,,
1/1/1991,2.851852,3.287037,2.564815,3.203704,1.913977,182416050,-0.123376669,,
2/1/1991,3.194444,3.759259,3.12037,3.611111,2.157372,198254250,-0.130434905,,
3/1/1991,3.583333,4.046296,3.574074,4,2.389704,122184450,-0.116279174,,
4/1/1991,4,4.462963,3.925926,4.259259,2.546059,159869700,-0.06481475,,
5/1/1991,4.259259,4.944444,4.092593,4.87963,2.916898,150842250,-0.145652331,,
6/1/1991,4.861111,5.166667,4.75,5.013889,2.997154,132269400,-0.031428618,,
7/1/1991,5.055556,5.513889,4.916667,5.388889,3.221318,145105200,-0.065933994,,
8/1/1991,5.375,6.013889,5.013889,5.986111,3.580593,137563200,-0.11369507,,
9/1/1991,5.972222,6.152778,5.569444,6.055556,3.624194,102533400,-0.013953601,,
10/1/1991,6.111111,6.361111,5.722222,6.333333,3.790438,123549300,-0.036363601,,
11/1/1991,6.361111,6.833333,6.166667,6.694444,4.006562,140226300,-0.052401695,,
12/1/1991,6.638889,7.791667,6.611111,7.486111,4.482658,141096600,-0.127615027,,
1/1/1992,7.416667,7.986111,6.75,6.847222,4.100096,227046600,0.076779098,,
2/1/1992,6.861111,7.541667,6.611111,7.111111,4.258108,140575500,-0.036437248,,
3/1/1992,7.125,7.430556,6.722222,7.194444,4.30801,124147800,-0.009746526,,
4/1/1992,7.166667,7.625,6.708333,6.930556,4.151943,172453500,0.032945719,,
5/1/1992,6.930556,7.888889,6.736111,7.847222,4.701095,144568800,-0.132264424,,
6/1/1992,7.847222,7.930556,7.027778,7.472222,4.479483,157698000,0.047787612,,
7/1/1992,7.458333,8.4375,7.444444,8.375,5.020686,105945300,-0.122905078,,
8/1/1992,8.375,8.916667,8.3125,8.895833,5.332915,127171200,-0.062189015,,
9/1/1992,8.895833,9.5,8.75,9.229167,5.536009,107333400,-0.037470802,,
10/1/1992,9.229167,9.708333,8.166667,9.645833,5.785941,143964000,-0.045146653,,
11/1/1992,9.645833,10.166667,9.479167,10.166667,6.098358,110422800,-0.053995751,,
12/1/1992,10.166667,11.4375,10.104167,11.25,6.751539,121775400,-0.106557341,,
1/1/1993,11.291667,11.3125,10.416667,10.854167,6.513985,126367200,0.038745386,,
2/1/1993,11,11.229167,9.25,10.604167,6.363954,178747800,0.035984818,,
3/1/1993,10.645833,10.833333,10.083333,10.541667,6.326442,137559600,0.009784673,,
4/1/1993,10.604167,10.604167,8.805556,9.388889,5.637248,262286250,0.114603816,,
5/1/1993,9.361111,10.444444,9.277778,10.277778,6.170955,115724700,-0.097922885,,
6/1/1993,10.277778,10.416667,9.138889,9.722222,5.837389,113075100,0.054054096,,
7/1/1993,9.722222,10.027778,9.333333,9.805556,5.891524,64539000,-0.008571497,,
8/1/1993,9.944444,10.5,8.861111,9.5,5.707931,189274950,0.044692695,,
9/1/1993,9.388889,9.416667,7.777778,8.555556,5.144184,224711100,0.08875736,,
10/1/1993,8.666667,8.916667,8.277778,8.805556,5.294503,95008950,-0.016025653,,
11/1/1993,8.805556,9.833333,8.722222,9.222222,5.545032,117718650,-0.047318534,,
12/1/1993,9.388889,9.611111,8.666667,8.777778,5.281596,89785350,0.065088745,,
1/1/1994,8.777778,9,8.111111,8.666667,5.214739,147197250,0.012658215,,
2/1/1994,8.666667,9.444444,8.25,9.25,5.565732,119165850,-0.067307651,,
3/1/1994,9.25,9.916667,8.666667,9.055556,5.448736,137023200,0.021020973,,
4/1/1994,8.833333,9.611111,8.777778,9.333333,5.619989,77763150,-0.056603776,,
5/1/1994,9.388889,10.305556,8.805556,10.027778,6.038139,116264700,-0.068047348,,
6/1/1994,10,10.305556,9.083333,9.361111,5.636714,98008650,0.0638889,,
7/1/1994,9.416667,9.833333,8.888889,9.083333,5.474264,80594550,0.0353983,,
8/1/1994,9.055556,10.277778,8.833333,10.055556,6.060195,130652100,-0.110429442,,
9/1/1994,9.888889,10,9.25,9.333333,5.624933,89096400,0.05617982,,
10/1/1994,9.388889,10.222222,9.083333,10.111111,6.099204,88499700,-0.076923052,,
11/1/1994,10.083333,10.722222,9.888889,10.277778,6.199742,123904350,-0.019283802,,
12/1/1994,10.222222,10.5,9.805556,10.222222,6.166232,90022050,0,,
1/1/1995,10.194444,10.777778,9.916667,10.388889,6.27219,75996450,-0.019073625,,
2/1/1995,10.388889,11.111111,9.777778,9.972222,6.020632,136977300,0.040106984,,
3/1/1995,10,10.333333,9.416667,9.833333,5.941877,156234600,0.0166667,,
4/1/1995,9.805556,9.833333,8.944444,9.277778,5.606177,149049900,0.053824383,,
5/1/1995,9.277778,10,8.861111,9.25,5.589391,239835600,0.002994036,,
6/1/1995,9.305556,9.666667,8.583333,9.055556,5.4719,256795650,0.02686567,,
7/1/1995,9,10.055556,9,9.777778,5.915541,150221250,-0.086419778,,
8/1/1995,9.777778,9.972222,8.833333,8.888889,5.377767,121608900,0.0909091,,
9/1/1995,8.916667,9.527778,8.555556,8.861111,5.360961,226980000,0.006230579,,
10/1/1995,8.861111,8.916667,8.138889,8.277778,5.014068,184977000,0.065830684,,
11/1/1995,8.277778,9.972222,8.277778,9.861111,5.973135,182070450,-0.191275122,,
12/1/1995,9.888889,10.666667,9.527778,10.611111,6.427425,135653400,-0.073033685,,
1/1/1996,10.555556,10.555556,9.222222,10.222222,6.198913,161351100,0.031579009,,
2/1/1996,10.222222,10.666667,9.5,9.611111,5.828324,132093450,0.059782599,,
3/1/1996,9.777778,11.194444,9.611111,10.611111,6.434737,175555800,-0.085227237,,
4/1/1996,10.666667,10.694444,9.444444,10.527778,6.390777,151977600,0.013020843,,
5/1/1996,10.472222,11.916667,10.111111,11.361111,6.896643,164262150,-0.084880649,,
6/1/1996,11.305556,12.694444,11.222222,12,7.284471,122950800,-0.06142502,,
7/1/1996,12.027778,12.333333,10.666667,11.194444,6.802888,143292150,0.069284119,,
8/1/1996,11.222222,12.416667,11.166667,11.805556,7.174268,105200550,-0.051980258,,
9/1/1996,11.555556,13.166667,11.527778,12.638889,7.680683,101001600,-0.093749968,,
10/1/1996,12.75,13.222222,11.722222,12.194444,7.418686,115792200,0.04357302,,
11/1/1996,12.166667,12.722222,11.277778,11.583333,7.046908,177474600,0.047945259,,
12/1/1996,11.722222,11.916667,10.722222,11.138889,6.776523,151106400,0.049763006,,
1/1/1997,11.166667,11.861111,10.611111,11,6.699631,219353850,0.014925403,,
2/1/1997,11.055556,12.638889,11,12.138889,7.393278,240156000,-0.097989916,,
3/1/1997,12.027778,13.027778,11.833333,11.888889,7.241013,133445700,0.011547353,,
4/1/1997,11.722222,12.972222,11.638889,12.888889,7.858397,119520000,-0.099526097,,
5/1/1997,12.888889,14.138889,12.666667,14.027778,8.552786,173335500,-0.088362077,,
6/1/1997,14,15.555556,13.805556,15.333333,9.348785,134912700,-0.095238071,,
7/1/1997,15.333333,16.645832,14.604167,16.604168,10.135245,119939550,-0.082880545,,
8/1/1997,16.625,16.875,15.6875,15.729167,9.601138,106325700,0.053884692,,
9/1/1997,15.8125,18.125,15.791667,17.375,10.605764,127059900,-0.098814229,,
10/1/1997,17.520832,18.875,16.729168,18.583332,11.354633,136966800,-0.060642097,,
11/1/1997,19.166668,19.354168,17.875,18.6875,11.41828,93867000,0.025000068,,
12/1/1997,18.9375,20.166668,17.645832,19.625,11.991101,103974000,-0.03630363,,
1/1/1998,19.666668,20.541668,18.4375,20.166668,12.332609,87627000,-0.025423727,,
2/1/1998,20.5,22.9375,20.416668,21.291668,13.020579,107246700,-0.038617951,,
3/1/1998,21.208332,23.479168,21.145832,22.541668,13.785009,136070400,-0.062868499,,
4/1/1998,22.479168,24.229168,21.854168,23.229168,14.216436,121498500,-0.033364224,,
5/1/1998,23.541668,26.3125,22.5625,26.1875,16.026957,120076200,-0.112389318,,
6/1/1998,26.5,28.854168,25.354168,27.6875,16.944977,145564200,-0.044811321,,
7/1/1998,27.75,32.666668,27.75,27.916668,17.097969,160953750,-0.006006054,,
8/1/1998,27.708332,30.625,23.875,25.416668,15.566805,150087300,0.082706675,,
9/1/1998,25.666668,29.75,23.5,26.333332,16.128233,154875900,-0.025973921,,
10/1/1998,25.333332,29.958332,21.083332,29.041668,17.801001,186681600,-0.146381692,,
11/1/1998,29.25,34.666668,28.75,33.166668,20.329399,105596400,-0.133903179,,
12/1/1998,33.083332,41.333332,32.166668,40.791668,25.00313,106602900,-0.232997571,,
1/1/1999,40.25,40.833332,34.583332,40.333332,24.737103,139142550,-0.00207036,,
2/1/1999,40.25,41.125,35.875,39.791668,24.404884,101236050,0.01138713,,
3/1/1999,39.083332,44.208332,38.833332,41.5,25.452646,111417900,-0.061833725,,
4/1/1999,41.666668,45.291668,37.708332,39.833332,24.442736,117392100,0.044000063,,
5/1/1999,39.875,41.166668,36.833332,37.708332,23.138773,124823100,0.054336502,,
6/1/1999,38,43.125,36.75,42.958332,26.360306,104368950,-0.130482421,,
7/1/1999,42.541668,46.625,41.625,42.541668,26.122017,87116700,0,,
8/1/1999,42.083332,44.25,35.75,41,25.175364,119803950,0.025742543,,
9/1/1999,40.833332,46,39.375,45.75,28.110205,101502300,-0.1204082,,
10/1/1999,45.583332,52.333332,44.708332,50.5,31.028746,126242700,-0.107861093,,
11/1/1999,50.416668,55.666668,49.916668,52.791668,32.436829,116575500,-0.047107437,,
12/1/1999,53.125,69.75,52.916668,68.75,42.273815,139005300,-0.294117647,,
